Calendar Year,Property ID,Property Adress,Property ZIP Code,Year Built,ENERGY STAR Score,Site EUI (kBtu/ft²),Site Energy Use (kBtu),Indoor Water Use (All Water Sources) (kgal),Borough,Latitude,Longitude,Community Board,Borough_CommBoard
2022,9793770,1870 Pelham Parkway South,10461,1960,61,58.5,3096670.2,5965,BRONX,40.855488,-73.830726,210,BRONX_210
2022,14377690,1680 Ocean Ave,11230,1935,61,86.3,5902717.6,2649,BROOKLYN,40.62104,-73.955909,314,BROOKLYN_314
2022,15176247,88-24 Merrick Blvd,11432,1937,16,126,10402318.2,10579.5,QUEENS,40.708541,-73.795755,412,QUEENS_412
2022,15176327,90-11 149 str,11435,1933,71,79.9,10866274.5,14955.8,QUEENS,40.70322,-73.806129,412,QUEENS_412
2022,15176328,148-25 89 Ave,11435,1942,37,102.8,13080412.8,8928,QUEENS,40.704243,-73.807266,412,QUEENS_412
2022,15176329,166-05 89 Ave,11432,1940,32,107.4,6036866.7,,QUEENS,40.708145,-73.795204,412,QUEENS_412
2022,15288692,403 Hewes Street,11211,1917,40,98.1,2530156.2,2860.1,BROOKLYN,40.708731,-73.951162,301,BROOKLYN_301
2022,15288693,409 Hewes Street,11211,1915,51,108.2,3004443.9,2783.2,BROOKLYN,40.708901,-73.951036,301,BROOKLYN_301
2022,15304524,1882 Grand Concourse,10457,1914,18,112,4621563.1,,BRONX,40.848866,-73.906489,205,BRONX_205
2022,15305200,990 Aldus Street,10459,1923,36,102.5,4611584.6,5647.8,BRONX,40.823193,-73.889279,202,BRONX_202
2022,15306290,996 Aldus Street,10459,1923,46,95.4,4392683.1,,BRONX,40.823204,-73.889081,202,BRONX_202
2022,15310834,1025 Aldus Street,10459,1924,44,107.3,4914506.4,6007.2,BRONX,40.82328,-73.887899,202,BRONX_202
2022,15313508,1032 Aldus Street,10459,1927,27,124.3,4274914.5,3162.8,BRONX,40.823282,-73.887462,202,BRONX_202
2022,15315394,1010 Bryant Avenue,10459,1922,53,105.1,4838630.1,7453.2,BRONX,40.823607,-73.88857,202,BRONX_202
